post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,disclosure_pattern,compliance_status,health_claim_detected,health_claim_compliant,penalty_exposure_usd,review_date,reviewer,action_required,notes
POST-0601,@cleanwellness,Instagram,2026-01-19,18:30:00,62473,24675,4.63,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-02-24,Sarah Chen,NONE,Follow up required before next post
POST-0602,@guthealth_guru,YouTube,2026-01-22,17:30:00,92098,35168,1.72,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-27,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0603,@nourishednaturally,TikTok,2026-01-26,15:00:00,36631,15459,4.84,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0604,@cleanwellness,Instagram,2026-02-21,17:45:00,15018,2869,5.95,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0605,@nutriscience,Reels,2026-03-22,10:00:00,57605,10492,4.22,"Disclosure in bio only",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-27,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0606,@nourishednaturally,Instagram Stories,2026-01-21,08:45:00,26894,11202,0.84,"Verbal only (video)",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-02-26,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0607,@guthealth_guru,Instagram,2026-03-03,22:45:00,43806,13524,2.72,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-08,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0608,@holistic_health_hub,TikTok,2026-01-20,10:45:00,51032,16404,3.28,"Platform Paid Partnership only",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-25,Jordan Ellis,NONE,Corrected in subsequent post
POST-0609,@nutriscience,YouTube,2026-01-26,16:30:00,63179,21021,5.95,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0610,@immunity_insider,YouTube,2026-02-21,20:15:00,21784,3925,2.05,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0611,@immunity_insider,YouTube,2026-03-09,16:15:00,34305,8689,0.92,"#sponsored in middle",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0612,@immunity_insider,YouTube,2026-03-17,09:30:00,58821,16210,2.81,"#ad at post beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-22,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0613,@digestive_digest,Reels,2026-01-04,16:15:00,88008,20368,5.59,"#ad first hashtag",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-09,Sarah Chen,NONE,Formal notice issued
POST-0614,@microbiome_maven,YouTube,2026-01-23,16:00:00,92059,31446,5.79,"#ad buried as last hashtag",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0615,@immunity_insider,YouTube,2026-02-19,21:00:00,24648,10727,2.64,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-24,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0616,@wellnesswithjenna,Reels,2026-03-05,08:00:00,65035,23959,4.9,"Platform Paid Partnership only",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-10,Casey Park,NONE,Influencer agreement updated
POST-0617,@nourishednaturally,Reels,2026-03-09,14:30:00,19062,8484,2.78,"Verbal only (video)",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-14,Sarah Chen,NONE,Corrected in subsequent post
POST-0618,@vitamindiary,YouTube,2026-03-06,15:00:00,16932,2610,1.73,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-11,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0619,@wellnesswithjenna,YouTube,2026-02-14,14:30:00,39319,14492,5.34,"#sponsored in middle",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-19,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0620,@immunity_insider,YouTube,2026-03-24,17:45:00,25034,3891,6.19,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0621,@guthealth_guru,YouTube,2026-03-22,09:15:00,63524,19285,1.29,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-27,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0622,@nutriscience,YouTube,2026-02-19,08:15:00,90825,14702,6.04,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-24,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0623,@vitamindiary,Instagram,2026-03-27,12:45:00,86098,28856,2.71,"Disclosure in bio only",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0624,@vitalitycoach,Instagram,2026-02-05,12:00:00,17815,3764,3.77,"Ad: at beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0625,@guthealth_guru,TikTok,2026-03-07,09:00:00,12857,3837,5.71,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-12,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0626,@wellnesswithjenna,TikTok,2026-02-01,14:15:00,27582,7588,1.94,"Platform Paid Partnership only",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-06,Sarah Chen,NONE,Corrected in subsequent post
POST-0627,@supplementspro,TikTok,2026-01-04,11:45:00,52148,8085,4.4,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-09,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0628,@vitamindiary,Reels,2026-01-23,14:00:00,48831,13705,3.94,"#ad buried as last hashtag",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0629,@digestive_digest,Instagram,2026-02-02,10:45:00,36537,12071,4.44,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-07,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0630,@digestive_digest,Instagram,2026-01-03,17:00:00,23729,8242,3.6,"Verbal only (video)",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-02-08,Sarah Chen,NONE,Compliant - no action needed
POST-0631,@cleanwellness,TikTok,2026-01-14,19:30:00,14763,3677,2.36,"Disclosure in bio only",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-19,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0632,@fitandfueled,TikTok,2026-03-12,16:30:00,36208,12915,5.53,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-17,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0633,@digestive_digest,TikTok,2026-03-03,20:30:00,63873,18041,6.11,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-08,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0634,@cleanwellness,TikTok,2026-02-21,16:00:00,41958,7794,3.6,"#sponsored in middle",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0635,@immunity_insider,TikTok,2026-01-12,09:30:00,19647,7851,2.82,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-17,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0636,@wellnesswithjenna,Instagram,2026-02-01,13:30:00,86584,24619,3.53,"Verbal only (video)",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-06,Jordan Ellis,NONE,Corrected in subsequent post
POST-0637,@fitandfueled,TikTok,2026-02-16,12:45:00,27267,11279,0.89,"#ad buried as last hashtag",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-21,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0638,@probiotic_life,YouTube,2026-03-05,11:00:00,76076,27503,4.26,"No disclosure",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-10,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0639,@holistic_health_hub,TikTok,2026-01-21,20:15:00,48779,17075,3.32,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-02-26,Sarah Chen,NONE,Corrected in subsequent post
POST-0640,@supplementspro,Reels,2026-03-04,16:00:00,58811,16625,3.4,"Disclosure in bio only",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-09,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0641,@nutriscience,Instagram Stories,2026-03-16,18:30:00,42387,15460,5.63,"#ad first hashtag",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-03-21,Casey Park,NONE,Compliant - no action needed
POST-0642,@guthealth_guru,YouTube,2026-03-16,21:00:00,46532,19561,1.35,"#ad first hashtag",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-21,Sarah Chen,NONE,Formal notice issued
POST-0643,@microbiome_maven,Instagram,2026-03-26,22:15:00,47109,18255,1.58,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0644,@probiotic_life,TikTok,2026-01-02,22:15:00,88672,13992,6.05,"Disclosure in bio only",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-07,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0645,@immunity_insider,Instagram Stories,2026-02-21,18:30:00,23065,4233,5.95,"Platform Paid Partnership only",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-03-26,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0646,@fitandfueled,Reels,2026-01-12,13:30:00,76373,30881,3.81,"Verbal only (video)",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-02-17,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0647,@fitandfueled,Reels,2026-02-02,18:30:00,16007,5344,3.51,"No disclosure",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-07,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0648,@guthealth_guru,TikTok,2026-03-03,21:15:00,29162,5490,6.06,"Verbal only (video)",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-08,Jordan Ellis,NONE,Formal notice issued
POST-0649,@vitalitycoach,YouTube,2026-01-22,15:00:00,94138,15879,2.16,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-02-27,Casey Park,NONE,Corrected in subsequent post
POST-0650,@nourishednaturally,TikTok,2026-02-23,16:15:00,31750,9834,5.44,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0651,@probiotic_life,Instagram,2026-01-13,14:15:00,75511,29575,4.83,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-18,Sarah Chen,NONE,Corrected in subsequent post
POST-0652,@vitamindiary,Instagram Stories,2026-03-10,14:45:00,79726,29251,3.27,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-15,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0653,@microbiome_maven,TikTok,2026-01-07,10:00:00,21272,6518,4.18,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-12,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0654,@nutriscience,Instagram Stories,2026-01-06,09:45:00,56420,23748,2.35,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-11,Jordan Ellis,NONE,Compliant - no action needed
POST-0655,@cleanwellness,TikTok,2026-02-08,17:00:00,94842,14860,5.5,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-13,Casey Park,NONE,Follow up required before next post
POST-0656,@cleanwellness,TikTok,2026-03-27,15:45:00,52445,18760,2.98,"Verbal only (video)",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-28,Jordan Ellis,NONE,Compliant - no action needed
POST-0657,@immunity_insider,Instagram Stories,2026-02-15,21:30:00,62848,21386,4.07,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-20,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0658,@vitalitycoach,Instagram,2026-02-07,13:30:00,55013,18329,4.54,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-12,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0659,@digestive_digest,YouTube,2026-02-05,12:00:00,87474,18965,1.62,"No disclosure",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-10,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0660,@digestive_digest,YouTube,2026-02-15,09:45:00,76039,24036,4.95,"#ad first hashtag",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-20,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0661,@digestive_digest,Instagram,2026-02-09,22:30:00,66001,21397,1.98,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-14,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0662,@wellnesswithjenna,Reels,2026-03-05,14:00:00,45198,9701,1.43,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-10,Jordan Ellis,NONE,Compliant - no action needed
POST-0663,@immunity_insider,Instagram Stories,2026-01-13,11:30:00,24892,6514,2.63,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-18,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0664,@vitalitycoach,TikTok,2026-01-15,08:30:00,45307,11700,0.85,"Verbal only (video)",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-20,Sarah Chen,NONE,Formal notice issued
POST-0665,@digestive_digest,YouTube,2026-01-17,09:15:00,64729,20385,4.55,"Disclosure in bio only",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-22,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0666,@immunity_insider,Reels,2026-03-05,14:30:00,60848,14230,1.93,"Verbal only (video)",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-10,Sarah Chen,NONE,Formal notice issued
POST-0667,@cleanwellness,Reels,2026-01-03,11:45:00,80412,32200,2.93,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-08,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0668,@supplementspro,Reels,2026-03-18,14:45:00,89355,36093,1.24,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-23,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0669,@fitandfueled,Instagram,2026-02-06,11:30:00,29187,12147,3.89,"Disclosure in bio only",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-11,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0670,@vitalitycoach,Reels,2026-01-19,12:00:00,34789,10876,3.29,"#ad first hashtag",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-02-24,Casey Park,NONE,Follow up required before next post
POST-0671,@vitamindiary,TikTok,2026-03-15,16:15:00,34703,10589,5.91,"Disclosure in bio only",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-20,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0672,@nourishednaturally,Instagram Stories,2026-03-18,15:00:00,15357,6205,4.69,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-23,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0673,@cleanwellness,Instagram,2026-02-22,14:00:00,60376,22544,4.55,"#ad at post beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-27,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0674,@wellnesswithjenna,Instagram,2026-03-20,12:00:00,21126,5406,3.67,"#ad first hashtag",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-25,Sarah Chen,NONE,Formal notice issued
POST-0675,@guthealth_guru,YouTube,2026-03-17,21:00:00,51473,19616,5.1,"#ad first hashtag",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-22,Casey Park,NONE,Follow up required before next post
POST-0676,@vitalitycoach,TikTok,2026-02-01,17:00:00,20934,7867,4.5,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-06,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0677,@wellnesswithjenna,TikTok,2026-01-28,11:00:00,94208,20006,0.85,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0678,@supplementspro,Instagram Stories,2026-01-01,19:30:00,71897,17062,1.83,"#ad buried as last hashtag",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-06,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0679,@immunity_insider,Reels,2026-02-09,08:45:00,56608,12812,3.76,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-14,Jordan Ellis,NONE,Influencer agreement updated
POST-0680,@guthealth_guru,Instagram Stories,2026-02-13,10:15:00,91778,14199,2.27,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-18,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0681,@guthealth_guru,Reels,2026-02-19,21:00:00,29337,4525,4.54,"Ad: at beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-24,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0682,@fitandfueled,YouTube,2026-02-27,12:30:00,36861,11384,3.48,"#ad first hashtag",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-28,Casey Park,NONE,Compliant - no action needed
POST-0683,@nutriscience,YouTube,2026-01-17,10:45:00,47918,12942,5.58,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-22,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0684,@cleanwellness,TikTok,2026-02-11,09:30:00,78797,24258,5.81,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-16,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0685,@digestive_digest,Reels,2026-03-24,16:30:00,41067,9320,1.93,"#ad first hashtag",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-28,Jordan Ellis,NONE,Compliant - no action needed
POST-0686,@vitamindiary,TikTok,2026-01-25,14:45:00,67865,29455,2.1,"Disclosure in bio only",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0687,@immunity_insider,TikTok,2026-03-28,10:00:00,71491,24011,1.62,"Ad: at beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0688,@probiotic_life,YouTube,2026-01-14,14:00:00,84515,35309,4.86,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-19,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0689,@fitandfueled,YouTube,2026-03-03,12:45:00,38167,6421,1.36,"Verbal only (video)",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-08,Jordan Ellis,NONE,Influencer agreement updated
POST-0690,@digestive_digest,Instagram Stories,2026-01-24,15:00:00,77437,15261,5.07,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0691,@cleanwellness,Instagram Stories,2026-01-21,13:45:00,55832,13813,2.05,"Verbal only (video)",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-02-26,Jordan Ellis,NONE,Influencer agreement updated
POST-0692,@holistic_health_hub,Reels,2026-02-06,08:15:00,73386,30905,2.39,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-11,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0693,@cleanwellness,TikTok,2026-02-27,21:00:00,22784,5662,6.07,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-28,Sarah Chen,NONE,Corrected in subsequent post
POST-0694,@nutriscience,Instagram,2026-02-10,10:00:00,75303,13094,2.36,"#ad first hashtag",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-15,Casey Park,NONE,Compliant - no action needed
POST-0695,@probiotic_life,Instagram Stories,2026-02-18,15:15:00,15867,5906,3.59,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-23,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0696,@digestive_digest,Reels,2026-01-13,17:45:00,84988,32411,1.59,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-18,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0697,@fitandfueled,Instagram,2026-01-09,08:30:00,17032,6828,2.75,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-14,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0698,@vitamindiary,Instagram,2026-02-26,22:15:00,35386,6981,2.65,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0699,@supplementspro,TikTok,2026-01-15,11:15:00,46611,17205,1.08,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-20,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0700,@digestive_digest,TikTok,2026-02-21,20:30:00,92840,22482,5.23,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-26,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0701,@nutriscience,YouTube,2026-02-12,13:00:00,36630,15958,2.29,"Disclosure in bio only",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-17,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0702,@guthealth_guru,Reels,2026-02-03,18:30:00,54340,17735,5.44,"No disclosure",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-08,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0703,@nutriscience,Instagram,2026-01-24,09:00:00,91985,40257,5.87,"#ad at post beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0704,@holistic_health_hub,Instagram Stories,2026-03-05,20:45:00,37156,13087,4.64,"#sponsored in middle",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0705,@nutriscience,TikTok,2026-02-20,14:30:00,79554,12471,2.97,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-25,Sarah Chen,NONE,Follow up required before next post
POST-0706,@digestive_digest,YouTube,2026-02-14,12:45:00,75741,20272,6.16,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-19,Casey Park,NONE,Corrected in subsequent post
POST-0707,@vitalitycoach,Instagram,2026-01-13,17:00:00,68222,14396,5.05,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-18,Jordan Ellis,NONE,Influencer agreement updated
POST-0708,@holistic_health_hub,Reels,2026-03-05,16:45:00,56424,11400,2.15,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0709,@guthealth_guru,YouTube,2026-01-09,12:45:00,46847,20513,5.19,"Disclosure in bio only",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-14,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0710,@vitamindiary,Instagram Stories,2026-02-23,18:15:00,21938,8794,3.9,"#sponsored in middle",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0711,@vitalitycoach,Instagram,2026-02-15,15:45:00,79610,18114,1.79,"Platform Paid Partnership only",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-20,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0712,@wellnesswithjenna,Instagram Stories,2026-02-08,10:30:00,76489,20516,1.13,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-13,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0713,@nutriscience,Instagram,2026-02-03,10:00:00,78609,15069,2.77,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-08,Casey Park,NONE,Follow up required before next post
POST-0714,@vitalitycoach,YouTube,2026-03-19,13:00:00,37319,15263,5.26,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-24,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
