post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,reach,clicks,link_clicks,saves,shares,comments,likes,disclosure_pattern,disclosure_type,disclosure_timing,compliance_status,health_claim_detected,health_claim_category,health_claim_compliant,violation_category,penalty_exposure_usd,review_date,reviewer,resolution_status,resolution_action,resolution_date,legal_hold,notes,campaign_id,content_type,paid_partnership_tag,verbal_disclosure,visual_disclosure
SUPP-0545,@vitamindiary,Pinterest,2026-02-07,15:15:00,44112,10348,1.64,11166,818,471,165,127,261,290,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-10,Alex Rivera (Ext.),IN_REVIEW,MONITORING,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-004,Static image,No,No,No
SUPP-0546,@nutriscience,Pinterest,2026-01-06,22:30:00,60494,7563,3.42,6827,129,39,43,53,23,1089,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-02-09,Jordan Ellis,OPEN,ESCALATE TO CCO,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-002,Reel,No,No,Yes
SUPP-0547,@nourishednaturally,Instagram Stories,2026-02-28,08:45:00,16159,6179,4.0,4412,443,152,134,91,104,157,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-28,Casey Park,PENDING,MONITORING,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-015,Podcast mention,No,No,No
SUPP-0548,@nutriscience,TikTok,2026-02-16,08:00:00,113887,13555,2.57,14425,561,162,98,181,406,881,"#ad first hashtag",adequate,pre-content,COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,None,0,2026-03-19,Sarah Chen,RESOLVED,NONE,2026-03-23,No,"Quarterly disclosure audit",CAMP-2026-017,Long video (>60s),No,No,Yes
SUPP-0549,@fitandfueled,TikTok,2026-02-20,13:15:00,39432,7025,0.6,6580,244,98,100,41,210,197,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-03-23,Jordan Ellis,IN_REVIEW,MONITORING,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-007,Long video (>60s),No,No,No
SUPP-0550,@guthealth_guru,Pinterest,2026-03-12,12:15:00,52067,9355,2.52,7166,735,146,256,129,201,1332,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,None,0,2026-03-15,Casey Park,RESOLVED,NONE,2026-03-19,No,"Casey Park pre-launch clearance",CAMP-2026-009,Story,No,No,No
SUPP-0551,@digestive_digest,Instagram,2026-03-16,12:30:00,56682,14872,4.55,11722,190,87,37,16,476,1005,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,None,0,2026-03-19,Sarah Chen,RESOLVED,NONE,2026-03-23,No,"Quarterly disclosure audit",CAMP-2026-007,Reel,No,No,No
SUPP-0552,@supplementspro,Reels,2026-01-22,09:15:00,117987,42404,2.05,35093,2132,1076,763,298,1153,2149,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,§255.5,51744,2026-02-25,Casey Park,OPEN,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-016,Live session,No,No,No
SUPP-0553,@guthealth_guru,TikTok,2026-02-26,07:00:00,64509,25122,6.33,26360,1673,613,641,185,988,991,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,None,0,2026-03-28,Jordan Ellis,RESOLVED,NONE,2026-03-28,No,"Casey Park pre-launch clearance",CAMP-2026-016,Static image,No,No,No
SUPP-0554,@digestive_digest,Reels,2026-01-12,21:45:00,36773,18412,6.3,19208,528,288,126,209,160,1113,"#ad first hashtag",adequate,pre-content,COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,None,0,2026-02-15,Sarah Chen,RESOLVED,NONE,2026-02-19,No,"Post-update-1 compliance sweep",CAMP-2026-005,Static image,No,No,Yes
SUPP-0555,@probiotic_life,Instagram Stories,2026-02-08,08:45:00,87932,47449,2.65,43486,1743,927,1087,412,1469,4493,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-03-11,Jordan Ellis,IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Quarterly disclosure audit",CAMP-2026-008,Carousel,No,No,No
SUPP-0556,@guthealth_guru,Reels,2026-02-06,08:45:00,82190,27735,2.68,29402,1086,396,227,340,394,2984,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-09,Jordan Ellis,PENDING,UPDATE DISCLOSURE,N/A,No,"Post-CEO-retraction review round",CAMP-2026-005,Live session,No,No,No
SUPP-0557,@vitamindiary,Snapchat,2026-03-24,14:45:00,13000,3198,3.28,2912,78,34,79,42,42,320,"Verbal only (video)",adequate,pre-content,COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,None,0,2026-03-27,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-28,No,"Sarah Chen escalation review",CAMP-2026-013,Story,No,Yes,No
SUPP-0558,@nourishednaturally,Facebook,2026-02-11,20:45:00,86672,37269,2.7,30172,2609,300,74,409,832,2081,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-14,Sarah Chen,IN_REVIEW,OBTAIN LEGAL REVIEW,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-010,Story,No,No,No
SUPP-0559,@nutriscience,Pinterest,2026-02-08,19:15:00,13906,3298,1.2,3161,220,77,21,15,19,128,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-11,Casey Park,OPEN,COMPLIANT - NO ACTION,N/A,No,"Sarah Chen escalation review",CAMP-2026-013,Carousel,No,No,No
SUPP-0560,@immunity_insider,Instagram Stories,2026-01-16,12:00:00,70507,23637,5.77,19960,1821,1038,334,274,484,1318,"Verbal only (video)",adequate,pre-content,COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,None,0,2026-02-19,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-23,No,"Supplemental audit batch March 2026",CAMP-2026-018,Podcast mention,No,Yes,No
SUPP-0561,@guthealth_guru,TikTok,2026-02-08,22:30:00,11428,2503,7.2,2533,101,43,22,33,53,305,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-11,Alex Rivera (Ext.),IN_REVIEW,REMOVE CLAIM,N/A,No,"Quarterly disclosure audit",CAMP-2026-010,Carousel,No,No,Yes
SUPP-0562,@wellnesswithjenna,Instagram Stories,2026-02-03,22:00:00,60893,21964,7.25,21941,813,124,178,306,179,3138,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-03-06,Alex Rivera (Ext.),IN_REVIEW,REMOVE CLAIM,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-011,Long video (>60s),No,No,No
SUPP-0563,@digestive_digest,TikTok,2026-02-01,23:45:00,119216,50577,3.28,51323,1468,641,743,642,1467,2198,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-04,Jordan Ellis,IN_REVIEW,UPDATE DISCLOSURE,N/A,No,"Post-CEO-retraction review round",CAMP-2026-007,Reel,No,No,No
SUPP-0564,@supplementspro,Reels,2026-03-28,09:45:00,36894,8758,6.95,8690,660,306,200,82,150,1101,"Ad: at beginning",adequate,pre-content,COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,None,0,2026-03-28,Sarah Chen,RESOLVED,NONE,2026-03-28,No,"Post-update-1 compliance sweep",CAMP-2026-004,Blog post,No,No,Yes
SUPP-0565,@cleanwellness,Pinterest,2026-01-20,19:45:00,96543,25006,0.73,26769,573,129,371,90,218,3184,"Verbal only (video)",adequate,pre-content,COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,None,0,2026-02-23,Jordan Ellis,RESOLVED,NONE,2026-02-27,No,"Casey Park pre-launch clearance",CAMP-2026-019,Long video (>60s),No,Yes,No
SUPP-0566,@cleanwellness,TikTok,2026-02-09,13:45:00,112246,21323,3.45,21315,1208,158,45,130,613,1518,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-12,Jordan Ellis,OPEN,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-017,Story,No,No,No
SUPP-0567,@microbiome_maven,TikTok,2026-03-14,19:00:00,47210,12057,7.11,12097,663,380,62,178,256,1247,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-17,Casey Park,OPEN,UPDATE DISCLOSURE,N/A,No,"Quarterly disclosure audit",CAMP-2026-001,Live session,No,No,No
SUPP-0568,@holistic_health_hub,Snapchat,2026-01-18,17:15:00,104079,37076,3.93,33363,2688,696,126,490,395,1188,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,None,0,2026-02-21,Jordan Ellis,RESOLVED,NONE,2026-02-25,No,"Post-update-1 compliance sweep",CAMP-2026-001,Short video (<60s),No,No,No
SUPP-0569,@cleanwellness,TikTok,2026-01-02,07:30:00,11719,4689,3.69,4056,160,83,70,67,18,116,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-02-05,Casey Park,PENDING,REMOVE CLAIM,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-014,Long video (>60s),No,No,No
SUPP-0570,@vitalitycoach,Reels,2026-03-05,09:15:00,34787,10428,5.17,9243,584,132,308,104,86,1447,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-08,Jordan Ellis,IN_REVIEW,ESCALATE TO CCO,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-006,Carousel,No,No,No
SUPP-0571,@supplementspro,Facebook,2026-02-09,07:00:00,64058,33115,5.32,28122,2342,1354,239,444,983,3417,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-12,Jordan Ellis,OPEN,REMOVE CLAIM,N/A,No,"Post-CEO-retraction review round",CAMP-2026-016,Reel,Yes,No,No
SUPP-0572,@nourishednaturally,Instagram Stories,2026-03-11,14:30:00,108672,32920,6.26,25279,1137,129,605,212,334,3387,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-03-14,Casey Park,PENDING,REMOVE CLAIM,N/A,No,"Quarterly disclosure audit",CAMP-2026-011,Reel,No,No,No
SUPP-0573,@nourishednaturally,Snapchat,2026-02-13,21:15:00,28256,4004,6.93,4364,266,124,79,13,101,532,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-16,Casey Park,IN_REVIEW,OBTAIN LEGAL REVIEW,N/A,No,"Sarah Chen escalation review",CAMP-2026-012,Blog post,No,No,No
SUPP-0574,@cleanwellness,Snapchat,2026-03-13,12:30:00,84833,30495,2.95,30705,524,275,415,262,278,4329,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-16,Sarah Chen,IN_REVIEW,UPDATE DISCLOSURE,N/A,No,"Post-CEO-retraction review round",CAMP-2026-005,Reel,Yes,No,No
SUPP-0575,@nourishednaturally,Instagram,2026-02-11,21:45:00,48868,17272,6.42,13927,377,137,352,239,532,420,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-03-14,Casey Park,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-014,Long video (>60s),No,No,No
SUPP-0576,@fitandfueled,YouTube,2026-02-21,16:15:00,68169,33602,4.88,28652,1815,917,458,215,891,2754,"Ad: at beginning",adequate,pre-content,COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,None,0,2026-03-24,Casey Park,RESOLVED,NONE,2026-03-28,No,"Influencer remediation tracking",CAMP-2026-005,Short video (<60s),No,No,Yes
SUPP-0577,@fitandfueled,Pinterest,2026-01-12,16:45:00,101804,34040,1.21,25599,1942,782,708,167,1234,1448,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-02-15,Sarah Chen,OPEN,CONTRACT UPDATED,N/A,No,"Sarah Chen escalation review",CAMP-2026-017,Static image,No,No,No
SUPP-0578,@nourishednaturally,Instagram,2026-03-04,15:00:00,88779,45922,1.53,34153,3512,1083,767,227,1161,2184,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-03-07,Alex Rivera (Ext.),PENDING,OBTAIN LEGAL REVIEW,N/A,No,"Sarah Chen escalation review",CAMP-2026-013,Blog post,No,No,No
SUPP-0579,@digestive_digest,YouTube,2026-01-08,16:15:00,30560,5724,6.03,4093,108,14,69,35,168,431,"Ad: at beginning",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-02-11,Jordan Ellis,RESOLVED,NONE,2026-02-15,No,"Quarterly disclosure audit",CAMP-2026-011,Blog post,No,No,Yes
SUPP-0580,@microbiome_maven,LinkedIn,2026-01-19,11:30:00,58421,30561,5.54,23977,1947,1029,418,425,387,2657,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-02-22,Jordan Ellis,OPEN,MONITORING,N/A,No,"Quarterly disclosure audit",CAMP-2026-010,Reel,No,No,Yes
SUPP-0581,@digestive_digest,YouTube,2026-03-25,13:00:00,75105,28779,7.0,21852,1475,551,433,309,1071,1729,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Probiotic of choice for digestive health (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-28,Casey Park,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-019,Reel,Yes,No,No
SUPP-0582,@probiotic_life,Reels,2026-01-02,23:30:00,27853,13257,1.29,12362,572,95,148,103,423,1326,"#ad at post beginning",adequate,pre-content,COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,None,0,2026-02-05,Casey Park,RESOLVED,NONE,2026-02-09,No,"Influencer remediation tracking",CAMP-2026-011,Static image,No,No,Yes
SUPP-0583,@fitandfueled,Instagram Stories,2026-01-16,20:45:00,58176,27354,3.4,22967,1100,591,299,113,125,1130,"Verbal only (video)",adequate,pre-content,COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,None,0,2026-02-19,Sarah Chen,RESOLVED,NONE,2026-02-23,No,"Post-update-1 compliance sweep",CAMP-2026-018,Carousel,No,Yes,No
SUPP-0584,@probiotic_life,Pinterest,2026-01-09,23:00:00,106423,23910,2.95,24510,496,181,29,244,245,3546,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-02-12,Alex Rivera (Ext.),PENDING,MONITORING,N/A,No,"Influencer remediation tracking",CAMP-2026-003,Static image,No,No,No
SUPP-0585,@cleanwellness,LinkedIn,2026-01-13,18:30:00,116553,19169,2.16,17919,278,120,318,75,64,2621,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-02-16,Casey Park,PENDING,UPDATE DISCLOSURE,N/A,No,"Quarterly disclosure audit",CAMP-2026-012,Live session,No,No,No
SUPP-0586,@fitandfueled,Pinterest,2026-02-18,21:15:00,58892,12617,1.81,12893,718,178,153,152,397,1362,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Probiotic of choice for digestive health (compliant general claim)",general_wellness,Yes,None,0,2026-03-21,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-25,No,"Casey Park pre-launch clearance",CAMP-2026-004,Short video (<60s),No,No,Yes
SUPP-0587,@wellnesswithjenna,Instagram,2026-03-09,14:45:00,103866,56969,7.11,48327,2847,1220,303,841,1645,7195,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,§255.5,51744,2026-03-12,Jordan Ellis,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Post-CEO-retraction review round",CAMP-2026-002,Long video (>60s),No,No,No
SUPP-0588,@nourishednaturally,Reels,2026-03-20,15:00:00,81151,30584,3.73,32420,2353,1030,844,334,156,632,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,None,0,2026-03-23,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-27,No,"Quarterly disclosure audit",CAMP-2026-005,Live session,No,No,Yes
SUPP-0589,@cleanwellness,Facebook,2026-02-17,07:00:00,108155,54670,6.86,41857,4092,1554,404,440,565,3119,"Verbal only (video)",adequate,pre-content,COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,None,0,2026-03-20,Jordan Ellis,RESOLVED,NONE,2026-03-24,No,"Casey Park pre-launch clearance",CAMP-2026-018,Blog post,No,Yes,No
SUPP-0590,@supplementspro,Pinterest,2026-03-15,11:45:00,54920,13786,5.23,15106,136,77,214,166,513,547,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-18,Sarah Chen,OPEN,REMOVE CLAIM,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-007,Short video (<60s),No,No,No
SUPP-0591,@immunity_insider,Reels,2026-02-03,19:45:00,85034,16513,5.75,13886,696,162,476,216,603,1588,"Ad: at beginning",adequate,pre-content,COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,None,0,2026-03-06,Casey Park,RESOLVED,NONE,2026-03-10,No,"Post-CEO-retraction review round",CAMP-2026-015,Long video (>60s),No,No,Yes
SUPP-0592,@cleanwellness,Instagram Stories,2026-02-08,18:15:00,104018,22760,2.59,23900,355,179,189,47,194,524,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-03-11,Casey Park,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Sarah Chen escalation review",CAMP-2026-008,Reel,No,No,No
SUPP-0593,@wellnesswithjenna,YouTube,2026-03-15,21:45:00,107833,49524,7.39,53207,3161,1238,1438,262,1452,7269,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-18,Alex Rivera (Ext.),OPEN,MONITORING,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-001,Story,No,No,No
SUPP-0594,@digestive_digest,Instagram Stories,2026-02-17,14:45:00,33076,7752,4.59,8180,575,225,165,92,160,1155,"#ad first hashtag",adequate,pre-content,COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,None,0,2026-03-20,Sarah Chen,RESOLVED,NONE,2026-03-24,No,"Post-update-1 compliance sweep",CAMP-2026-011,Reel,No,No,Yes
SUPP-0595,@probiotic_life,TikTok,2026-03-16,18:15:00,60777,9081,2.28,7980,603,254,38,118,63,1082,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,§255.5,51744,2026-03-19,Jordan Ellis,PENDING,UPDATE DISCLOSURE,N/A,No,"Sarah Chen escalation review",CAMP-2026-014,Long video (>60s),Yes,No,No
SUPP-0596,@vitalitycoach,TikTok,2026-03-28,16:45:00,114501,19766,2.97,16265,1021,197,558,250,252,2167,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,§255.5,51744,2026-03-28,Casey Park,PENDING,REMOVE CLAIM,N/A,No,"Quarterly disclosure audit",CAMP-2026-002,Podcast mention,No,No,No
SUPP-0597,@cleanwellness,Instagram Stories,2026-02-10,21:30:00,90471,34062,2.55,31508,1326,578,641,272,189,2887,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,None,0,2026-03-13,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-17,No,"Supplemental audit batch March 2026",CAMP-2026-006,Live session,No,No,No
SUPP-0598,@microbiome_maven,Instagram,2026-03-21,22:15:00,96252,43576,2.47,36323,1919,706,829,578,931,4402,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,None,0,2026-03-24,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-28,No,"Influencer remediation tracking",CAMP-2026-011,Live session,No,No,No
SUPP-0599,@nutriscience,Facebook,2026-02-14,23:15:00,26699,2749,4.5,2042,168,54,37,10,89,246,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-17,Alex Rivera (Ext.),OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Post-CEO-retraction review round",CAMP-2026-014,Reel,No,No,No
SUPP-0600,@microbiome_maven,Instagram,2026-01-23,23:30:00,22865,10155,2.01,8758,461,143,301,100,184,846,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,None,0,2026-02-26,Sarah Chen,RESOLVED,NONE,2026-02-28,No,"Supplemental audit batch March 2026",CAMP-2026-008,Short video (<60s),No,No,No
SUPP-0601,@microbiome_maven,Reels,2026-03-12,22:30:00,27557,5957,6.56,6204,280,47,95,83,100,159,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-15,Sarah Chen,PENDING,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-004,Blog post,No,No,No
SUPP-0602,@cleanwellness,Twitter/X,2026-02-18,08:30:00,119030,28574,6.28,20108,2130,1001,741,79,811,4050,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,§255.5,51744,2026-03-21,Alex Rivera (Ext.),PENDING,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-015,Podcast mention,No,No,No
SUPP-0603,@fitandfueled,LinkedIn,2026-01-05,08:15:00,52855,21130,1.77,19996,633,348,387,24,632,2083,"Ad: at beginning",adequate,pre-content,COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,None,0,2026-02-08,Sarah Chen,RESOLVED,NONE,2026-02-12,No,"Casey Park pre-launch clearance",CAMP-2026-016,Long video (>60s),No,No,Yes
SUPP-0604,@holistic_health_hub,Facebook,2026-03-18,10:00:00,32767,12470,3.99,9250,528,138,18,122,175,848,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-21,Sarah Chen,PENDING,OBTAIN LEGAL REVIEW,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-013,Live session,No,No,No
SUPP-0605,@probiotic_life,TikTok,2026-02-07,22:30:00,98836,51431,2.93,54141,2074,1086,1306,462,1704,5493,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-03-10,Sarah Chen,PENDING,INFLUENCER NOTIFIED,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-003,Long video (>60s),No,No,No
SUPP-0606,@vitamindiary,Reels,2026-02-04,11:15:00,61843,27956,2.78,29400,1782,1028,493,90,764,1821,"Ad: at beginning",adequate,pre-content,COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,None,0,2026-03-07,Sarah Chen,RESOLVED,NONE,2026-03-11,No,"Casey Park pre-launch clearance",CAMP-2026-010,Live session,No,No,Yes
SUPP-0607,@vitalitycoach,Twitter/X,2026-03-14,07:45:00,18709,2694,2.52,2518,81,25,56,11,48,147,"#ad first hashtag",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-17,Sarah Chen,RESOLVED,NONE,2026-03-21,No,"Supplemental audit batch March 2026",CAMP-2026-010,Static image,No,No,Yes
SUPP-0608,@vitamindiary,Facebook,2026-01-26,14:15:00,41513,20881,5.14,16205,1162,211,27,110,809,1977,"Ad: at beginning",adequate,pre-content,COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,None,0,2026-02-28,Alex Rivera (Ext.),RESOLVED,NONE,2026-02-28,No,"Influencer remediation tracking",CAMP-2026-009,Blog post,No,No,Yes
SUPP-0609,@cleanwellness,Reels,2026-01-17,08:30:00,11582,2075,4.33,2246,62,35,10,3,27,237,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,§255.5,51744,2026-02-20,Casey Park,IN_REVIEW,ESCALATE TO CCO,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-012,Story,No,No,No
